timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680795139191,360,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1945916,127,1,1,http://192.168.56.104/1900KB.txt,184,0,14
1680795139553,144,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1894715,127,1,1,http://192.168.56.104/1850KB.txt,6,0,0
1680795139698,179,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,2048315,127,1,1,http://192.168.56.104/2000KB.txt,7,0,0
1680795139877,96,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1894715,127,1,1,http://192.168.56.104/1850KB.txt,3,0,0
1680795139973,152,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1997115,127,1,1,http://192.168.56.104/1950KB.txt,4,0,0
1680795140125,122,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1997115,127,2,2,http://192.168.56.104/1950KB.txt,1,0,0
1680795140172,185,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,1997116,127,2,2,http://192.168.56.104/1950KB.txt,5,0,2
1680795140247,136,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1894715,127,2,2,http://192.168.56.104/1850KB.txt,8,0,0
1680795140361,137,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,1997115,127,2,2,http://192.168.56.104/1950KB.txt,6,0,0
1680795140383,198,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1945915,127,2,2,http://192.168.56.104/1900KB.txt,36,0,0
1680795140498,285,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,1894715,127,2,2,http://192.168.56.104/1850KB.txt,7,0,0
1680795140581,338,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,1843515,127,2,2,http://192.168.56.104/1800KB.txt,5,0,0
1680795140784,297,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1843515,127,2,2,http://192.168.56.104/1800KB.txt,5,0,0
1680795140920,251,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1894715,127,3,3,http://192.168.56.104/1850KB.txt,3,0,0
