timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680789342268,241,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153914,126,1,1,http://192.168.56.104/150KB.txt,220,0,75
1680789342513,16,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,1,1,http://192.168.56.104/250KB.txt,4,0,0
1680789342672,8,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,1,1,http://192.168.56.104/150KB.txt,2,0,0
1680789342832,15,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,1,1,http://192.168.56.104/200KB.txt,6,0,0
1680789342891,32,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,153914,126,2,2,http://192.168.56.104/150KB.txt,18,0,2
1680789342993,5,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,2,2,http://192.168.56.104/50KB.txt,5,0,0
1680789343210,8,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,2,2,http://192.168.56.104/50KB.txt,2,0,0
1680789343312,13,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,2,2,http://192.168.56.104/250KB.txt,2,0,0
1680789343530,15,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,102713,126,2,2,http://192.168.56.104/100KB.txt,4,0,0
1680789343632,8,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,2,2,http://192.168.56.104/150KB.txt,2,0,0
1680789343850,15,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,205113,126,2,2,http://192.168.56.104/200KB.txt,3,0,0
1680789343878,8,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51512,125,3,3,http://192.168.56.104/50KB.txt,4,0,3
1680789343953,5,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,102713,126,3,3,http://192.168.56.104/100KB.txt,2,0,0
1680789344169,10,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,3,3,http://192.168.56.104/50KB.txt,2,0,0
1680789344357,30,HTTP Request 5 Small,200,OK,Thread Group 1-3,text,true,,256313,126,3,3,http://192.168.56.104/250KB.txt,3,0,0
1680789344434,19,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,3,3,http://192.168.56.104/200KB.txt,2,0,0
1680789344650,44,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,153913,126,3,3,http://192.168.56.104/150KB.txt,5,0,0
1680789344837,16,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51511,125,3,3,http://192.168.56.104/50KB.txt,4,0,0
1680789344878,22,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,205114,126,4,4,http://192.168.56.104/200KB.txt,8,0,3
1680789344912,9,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,102713,126,4,4,http://192.168.56.104/100KB.txt,2,0,0
1680789345129,15,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,4,4,http://192.168.56.104/50KB.txt,3,0,0
1680789345318,26,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,153913,126,4,4,http://192.168.56.104/150KB.txt,2,0,0
1680789345517,9,HTTP Request 1 Small,200,OK,Thread Group 1-4,text,true,,51511,125,4,4,http://192.168.56.104/50KB.txt,2,0,0
1680789345553,32,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,4,4,http://192.168.56.104/250KB.txt,2,0,0
1680789345769,20,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,153913,126,4,4,http://192.168.56.104/150KB.txt,2,0,0
1680789345876,12,HTTP Request 2 Small,200,OK,Thread Group 1-5,text,true,,102714,126,5,5,http://192.168.56.104/100KB.txt,4,0,2
1680789345957,13,HTTP Request 2 Small,200,OK,Thread Group 1-3,text,true,,102713,126,5,5,http://192.168.56.104/100KB.txt,2,0,0
1680789346157,15,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,153913,126,5,5,http://192.168.56.104/150KB.txt,2,0,0
1680789346192,19,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,5,5,http://192.168.56.104/200KB.txt,2,0,0
1680789346409,25,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,205113,126,5,5,http://192.168.56.104/200KB.txt,3,0,0
1680789346675,9,HTTP Request 1 Small,200,OK,Thread Group 1-5,text,true,,51511,125,5,5,http://192.168.56.104/50KB.txt,2,0,0
1680789346757,30,HTTP Request 4 Small,200,OK,Thread Group 1-3,text,true,,205113,126,5,5,http://192.168.56.104/200KB.txt,2,0,0
1680789346876,18,HTTP Request 4 Small,200,OK,Thread Group 1-6,text,true,,205114,126,6,6,http://192.168.56.104/200KB.txt,5,0,2
1680789346956,18,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,153913,126,6,6,http://192.168.56.104/150KB.txt,2,0,0
1680789346992,25,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,6,6,http://192.168.56.104/150KB.txt,2,0,0
1680789347209,17,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,102713,126,6,6,http://192.168.56.104/100KB.txt,2,0,0
1680789347475,21,HTTP Request 4 Small,200,OK,Thread Group 1-5,text,true,,205113,126,6,6,http://192.168.56.104/200KB.txt,2,0,0
1680789347558,26,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,153913,126,6,6,http://192.168.56.104/150KB.txt,2,0,0
1680789347835,10,HTTP Request 2 Small,200,OK,Thread Group 1-6,text,true,,102713,126,6,6,http://192.168.56.104/100KB.txt,2,0,0
1680789347874,16,HTTP Request 2 Small,200,OK,Thread Group 1-7,text,true,,102714,126,7,7,http://192.168.56.104/100KB.txt,8,0,2
1680789347917,65,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,153913,126,7,7,http://192.168.56.104/150KB.txt,2,0,0
1680789347954,44,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,7,7,http://192.168.56.104/200KB.txt,2,0,0
1680789348170,11,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,7,7,http://192.168.56.104/50KB.txt,2,0,0
1680789348435,9,HTTP Request 1 Small,200,OK,Thread Group 1-5,text,true,,51511,125,7,7,http://192.168.56.104/50KB.txt,2,0,0
1680789348517,23,HTTP Request 4 Small,200,OK,Thread Group 1-3,text,true,,205113,126,7,7,http://192.168.56.104/200KB.txt,2,0,0
1680789348795,13,HTTP Request 4 Small,200,OK,Thread Group 1-6,text,true,,205113,126,7,7,http://192.168.56.104/200KB.txt,2,0,0
1680789348874,15,HTTP Request 4 Small,200,OK,Thread Group 1-8,text,true,,205114,126,8,8,http://192.168.56.104/200KB.txt,4,0,2
1680789348993,14,HTTP Request 4 Small,200,OK,Thread Group 1-7,text,true,,205113,126,8,8,http://192.168.56.104/200KB.txt,2,0,0
1680789349036,25,HTTP Request 2 Small,200,OK,Thread Group 1-4,text,true,,102713,126,8,8,http://192.168.56.104/100KB.txt,2,0,0
1680789349072,14,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,8,8,http://192.168.56.104/50KB.txt,2,0,0
1680789349290,26,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,256313,126,8,8,http://192.168.56.104/250KB.txt,2,0,0
1680789349555,24,HTTP Request 5 Small,200,OK,Thread Group 1-5,text,true,,256313,126,8,8,http://192.168.56.104/250KB.txt,2,0,0
1680789349637,21,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,153913,126,8,8,http://192.168.56.104/150KB.txt,2,0,0
1680789349874,11,HTTP Request 2 Small,200,OK,Thread Group 1-9,text,true,,102714,126,9,9,http://192.168.56.104/100KB.txt,4,0,2
1680789349914,31,HTTP Request 5 Small,200,OK,Thread Group 1-6,text,true,,256313,126,9,9,http://192.168.56.104/250KB.txt,3,0,0
1680789350152,16,HTTP Request 2 Small,200,OK,Thread Group 1-8,text,true,,102713,126,9,9,http://192.168.56.104/100KB.txt,2,0,0
1680789350274,11,HTTP Request 2 Small,200,OK,Thread Group 1-7,text,true,,102713,126,9,9,http://192.168.56.104/100KB.txt,2,0,0
1680789350317,29,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,153913,126,9,9,http://192.168.56.104/150KB.txt,2,0,0
1680789350352,25,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,9,9,http://192.168.56.104/250KB.txt,2,0,0
1680789350569,19,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,256313,126,9,9,http://192.168.56.104/250KB.txt,2,0,0
1680789350836,27,HTTP Request 4 Small,200,OK,Thread Group 1-5,text,true,,205113,126,9,9,http://192.168.56.104/200KB.txt,1,0,0
1680789350874,18,HTTP Request 3 Small,200,OK,Thread Group 1-10,text,true,,153914,126,10,10,http://192.168.56.104/150KB.txt,7,0,3
1680789350919,6,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51511,125,10,10,http://192.168.56.104/50KB.txt,3,0,0
1680789351314,33,HTTP Request 4 Small,200,OK,Thread Group 1-9,text,true,,205113,126,10,10,http://192.168.56.104/200KB.txt,4,0,0
1680789351355,28,HTTP Request 5 Small,200,OK,Thread Group 1-6,text,true,,256313,126,10,10,http://192.168.56.104/250KB.txt,2,0,0
1680789351592,63,HTTP Request 5 Small,200,OK,Thread Group 1-8,text,true,,256313,126,10,10,http://192.168.56.104/250KB.txt,4,0,0
1680789351713,7,HTTP Request 1 Small,200,OK,Thread Group 1-7,text,true,,51511,125,10,10,http://192.168.56.104/50KB.txt,1,0,0
1680789351757,16,HTTP Request 2 Small,200,OK,Thread Group 1-4,text,true,,102713,126,10,10,http://192.168.56.104/100KB.txt,1,0,0
1680789351792,10,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,102713,126,10,10,http://192.168.56.104/100KB.txt,2,0,0
1680789351872,16,HTTP Request 5 Small,200,OK,Thread Group 1-11,text,true,,256314,126,11,11,http://192.168.56.104/250KB.txt,4,0,1
1680789352009,16,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,205113,126,11,11,http://192.168.56.104/200KB.txt,2,0,0
1680789352276,48,HTTP Request 2 Small,200,OK,Thread Group 1-5,text,true,,102713,126,11,11,http://192.168.56.104/100KB.txt,3,0,0
1680789352472,23,HTTP Request 4 Small,200,OK,Thread Group 1-10,text,true,,205113,126,11,11,http://192.168.56.104/200KB.txt,3,0,0
1680789352518,21,HTTP Request 4 Small,200,OK,Thread Group 1-3,text,true,,205113,126,11,11,http://192.168.56.104/200KB.txt,2,0,0
1680789352878,19,HTTP Request 4 Small,200,OK,Thread Group 1-12,text,true,,205114,126,12,12,http://192.168.56.104/200KB.txt,6,0,3
1680789352913,22,HTTP Request 3 Small,200,OK,Thread Group 1-9,text,true,,153913,126,12,12,http://192.168.56.104/150KB.txt,2,0,0
1680789352954,17,HTTP Request 3 Small,200,OK,Thread Group 1-6,text,true,,153913,126,12,12,http://192.168.56.104/150KB.txt,2,0,0
1680789353193,21,HTTP Request 4 Small,200,OK,Thread Group 1-8,text,true,,205113,126,12,12,http://192.168.56.104/200KB.txt,2,0,0
1680789353314,19,HTTP Request 5 Small,200,OK,Thread Group 1-7,text,true,,256313,126,12,12,http://192.168.56.104/250KB.txt,2,0,0
1680789353357,28,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,205113,126,12,12,http://192.168.56.104/200KB.txt,2,0,0
