 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  80504 176248  15468 263264   48  632  3743   877  543 1292  9 39 50  2  0
 0  0  80504 176240  15468 263292    0    0     0   772  338  133  0 11 88  1  0
 3  0  80504 169932  15512 268608  432    0  5776    76  638  676  0 47 46  8  0
 1  0  80248 162968  15512 274980  108    0  6492     0  962  348  0 84 15  1  0
 1  0  80248 155432  15512 281860   80    0  6976     0 1221  325  0 90 10  0  0
 2  0  80248 154124  15512 281896  108    0   108     0 1016  360  1 86 13  0  0
 0  0  80248 151952  15512 284804   56    0  2960   672  876  336  0 99  1  0  0
 4  0  80248 151344  15520 284784   12    0    12    48 1183  320  0 91  9  0  0
 2  0  80248 151888  15520 284808    0    0     0     0  400  271  0 65 35  0  0
 2  0  80248 151600  15520 284812    0    0     0     0  703  265  0 89 11  0  0
 3  0  80248 150736  15520 284812    0    0     0     0  712  285  0 75 25  0  0
 0  0  80248 151700  15520 284812    0    0     0   160  638  283  0 79 21  0  0
 3  1  80248 151380  15528 284808    0    0     0    16  874  396  0 69 31  0  0
 1  0  80248 151572  15528 284816    0    0     0     0  659  235  0 75 25  0  0
 4  0  80248 150996  15528 284820    0    0     0     0  936  297  0 96  4  0  0
 1  0  80248 151188  15528 284808   16    0    16     0  718  268  1 83 16  0  0
 2  0  80248 151188  15528 284824    0    0     0     0  731  275  0 88 12  0  0
 2  0  80248 150580  15528 284816    8    0     8     0  648  238  0 66 34  0  0
 1  0  80248 151540  15536 284828    0    0     0    16  804  270  0 93  7  0  0
 1  0  80248 148132  15536 284828    0    0     0     0 1057  325  0 90 10  0  0
 3  0  80248 151156  15536 284828    0    0     0     0  828  243  0 83 17  0  0
 1  0  80248 151476  15536 284832    0    0     0     0  615  237  0 83 17  0  0
 3  0  80248 171020  15536 284928   48    0   176   116  488  329  1 64 35  0  0
 0  0  79480 177552  15544 284412    0    0     0    56  818  289  0 59 41  0  0
 1  0  79480 177008  15544 284412    0    0     0     0  744  306  0 91  9  0  0
