 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  97624 244172  12468 243972   63  935  4632  1316  590 1517  9 41 49  2  0
 4  0  97624 233024  12468 252884  204    0  9100     0 1184  439  0 88  8  4  0
 4  0  97624 226540  12476 259396  116    0  6616    44 1483  347  0 98  2  0  0
 4  0  97624 224148  12476 261548  212    0  2356     0 1067  380  2 85 11  2  0
 3  0  97624 218692  12476 266148  100    0  4716     0 1415  339  0 100  0  0  0
 1  0  97624 213052  12476 271608   32    0  5488    68  796  342  0 77 21  2  0
 1  0  97624 205920  12484 277732   52    0  6184     0  660  422  1 97  2  0  0
 1  0  97624 205104  12492 278640   24    0   924    16  590  304  0 97  3  0  0
 0  0  97368 203092  12492 280828   40    0  2244     0  438  252  0 91  9  0  0
 2  0  97368 201588  12492 281756    8    0   908     0  481  251  0 93  7  0  0
 4  0  97368 200996  12492 281760   16    0    16     0  469  243  0 82 18  0  0
 1  0  97368 200952  12492 282808    0    0  1052     0  566  292  0 100  0  0  0
 1  0  97368 193944  12500 284360    0    0  1552    16  557  217  0 88 12  0  0
 1  0  97368 195324  12500 285216   92    0   944     0  490  337  0 100  0  0  0
 3  0  97368 197972  12500 285224    0    0     0     0  506  298  0 100  0  0  0
 1  0  97368 197204  12500 285228    0    0     0     0  814  240  0 80 20  0  0
 6  0  97368 195444  12500 285228    0    0     0     0  692  219  0 68 32  0  0
 0  0  97368 198964  12508 285220    0    0     0    16  333  240  0 90 10  0  0
 2  0  97368 193412  12508 285232    0    0     0     0  562  278  0 95  5  0  0
 1  0  97368 195540  12508 285232    0    0     0     0  314  298  0 100  0  0  0
 2  0  97368 198772  12508 285236    0    0     0     0  482  220  0 92  8  0  0
 2  0  97368 196892  12512 285232    0    0     0    36  325  259  1 96  3  0  0
 3  0  97368 195732  12524 285228    0    0     0    36  424  282  0 83 17  0  0
 1  0  97368 198484  12524 285240    0    0     0     0  442  239  0 70 30  0  0
 3  0  97368 198324  12524 285240    0    0     0     0  547  279  0 80 20  0  0
 1  0  97368 198900  12524 285244    0    0     0     0 1237  253  0 89 11  0  0
 1  0  97368 198868  12524 285244    0    0     0     0  398  266  0 87 13  0  0
